paper_id,university,konu,tr,en,n_characters_en,n_words_en,n_sentences_en
1649,ODTÜ,MECH,"Toprak yoluyla taşınan titreşim sadece yakındaki binaların yapısını tehdit edip insanlara rahatsızlık vermekle kalmaz aynı zamanda çevresel gürültüye de katkı sağlar. Bu titreşimlerin tasarım aşamasında öngörülebilmesi oldukça önemlidir. Bu tezde sonlu elemanlar analiziyle bu amaca ulaşmak amaçlanmıştır. Ticari bir yazılım kullanılarak yeni işletmeye açılan bir yeraltı metro sisteminin sonlu eleman modeli geliştirilmiştir. Geliştirilen model Forrest ve Hunt'ın modeline dayanmaktadır. Bu tezde frekans aralığında elde edilen titreşim bilgisine tamamlayıcı olarak zamana bağlı analiz de gerçekleştirilmiştir. Modelin geçerliliği en büyük eleman boyutunun kontrol edilmesiyle ve sonuçların sonsuz sınır koşul sonuçlarıyla karşılaştırılmasıyla sağlanmıştır. Toprak çeşidi, ray altı pedi çeşidi ve tren hızının etkisinin araştırılması için parametrik çalışmalar yapılmıştır. Sonlu eleman analizinden elde edilen sonuçlar, sayısal yöntemlerle hesaplananlar ile uyum göstermektedir. Bu yaklaşımın herhangi bir demiryolu sisteminin toprak yoluyla taşınan titreşiminin öngörüsünde kullanılabileceği gösterilmiştir.","Grounddorne vibrations from railway systems not only pose threats to structural integrity of nearby buildings and cause annoyance on people but also contribute into environmental noise levels. It is of utmost importance to predict these vibrations at the design stage of such systems. This thesis attempts to reach this goal through finite elements analysis. Commercial software is used to develop a finite element model of an existing railway system. The model is based on the work of Forrest and Hunt. It is also aimed to perform transient analysis in time domain to complement vibration information already obtained in frequency domain. The model is validated by checking maximum element size and comparing results with the infinite boundary condition case. Parametric studies are designed to investigate effects of soil type, railpad type and train speed on vibrations induced by underground train traffic. Results acquired through the finite element analysis are found to be in good harmony with the ones by existing numerical methods. The study demonstrates that the approach can be applied to predict grounddorne vibration from any configuration of railway systems.",1172,180,11
2313,İTÜ,INDR,"İçinde bulunduğumuz dönemde, küresel rekabetin tüm dünyada etkisini göstermesi sonucu işletmelerde bilgi çok önemli bir kaynak olarak ele alınmaktadır. Bilgi çağı olarak adlandırılan bu dönemde, bilginin üretilmesi ve iletilmesi, yaygınlaştırılması, sürekli öğrenme ve bilgilenme kaçınılmazdır. Bilgi çağı ile beraber yeni teknolojiler geliştirilmiş ve bunun bir sonucu olarak iktisadi ve toplumsal değişimler yaşanmıştır. Toplumsal değişim sanayi toplumundan bilgi toplumuna geçişe neden olmuştur.İşletmeler arasından rakiplerine göre bilgiyi daha hızlı elde eden ve elde edilen bilgiyi daha etkin kullanabilenler diğerlerine göre rekabet avantajı kazanmaktadırlar. Günümüzde sadece bilgiye sahip olmak yeterli değildir. Sahip olunan bilginin işletmler tarafından, işletme performansını artıracak şekilde etkin yönetilebilmesi ihtiyaçtan daha çok zorunluluk haline gelmiştir.Bilişim teknolojileri, işletmeler tarafından bilginin daha etkin yönetilebilmesi için kurulan sistemlerin tasarlanması, geliştirilmesi ve uygulanması süreçlerinde kullanılan donanım, yazılım ve ağ gibi unsurlardan oluşmaktadır. Bilişim teknolojileri, yakın bir geleceğe kadar sadece alt ve orta kademede kullanılırken günümüzde üst kademede de kullanıldığı gözlenmektedir.Çalışmada, bilişim teknolojierinin işletmelerde kullanımı ve işletme fonksiyonları üzerindeki etkisinin ölçülebilmesi, belirlenen faktörlerin bir sigorta şirketindeki çalışanlar tarafından değerlendirilmesi sonucu sağlanmıştır. Demografik özelliklerden bazıları, işletme fonksiyonlarından ise tamamının BT'nin işletme üzerinde etkili olduğu ortaya konulmuştur.","Due to the effects of global competition being felt around the world, İnformation is being considered an important asset in businesses at the moment. Production, communication and universalization of information, and lifelong learning and enlightening is inevitable. With the rise of the information age, new Technologies have been developed and as a result economic and social changes have taken place. Social change has resulted in switching from an industrial society to an information society.Among businesses, the ones retrieving the information faster and utilising it more effectively maintain an edge against their competition. Today, being in possession of the information alone is not adequate. It has become a must rather than a necessity to manage this information in a way that will increase business performance.Information Technologies are made up of these core elements; systems developed for efficient management of information, hardware, software and networking associated with the production and application phases. Whereas until recently Information Technologies were used at low and medium management levels, today it is observed to have wide use within upper management as well.In this research, the measurement of the effect of information technologies on business functions of organisations has been achieved by evaluation of specific factors by employees of an insurance company. It is proven that some of specific factor of employees and all of business functions are affected by information technologies.",1531,225,12
997,BİLKENT,PHYS,"Tek katmanlı grafenin bulk muadilinden başarılı bir şekilde izolasyonunda sonra, iki boyutlu malzemeler alanında büyük bir ilerleme oldu. Geçiş metal kalkojenleri (GMK) bir geçiş metal atomun iki kalkojen atomu arasına sıkıltırılmasını içeren iki boyutlu malzemelerin ailesidir. Yarı iletken GMK'ların ışığa tepkileri literatürde kapsamlı bir şekilde incelendi. Ancak, metalik GMK'ların ışığa tepkilerine daha önceden görülmedi ve dolayısıyla geçerli olan işleyiş şeklini keşfedecek çalışmalar olmadı. Bulgularımız arasında, metalik GMK'lar aracılığı ile fotoakım üretmenin mümkün olduğunu ve bir fotooermal kökene sahip olduğunu keşfettik. Taramalı fotookım mikroskobunu numunelerin hem sıfır önakım hem de ön akımsız kullanarak, uzamsal fotoakım haritalarını elde edebildik. Uygulanan sıfır önakımında, foto akım üretimi metalletal bağlantısında yer alır ve Seebeck etkisi ile yönetilir. Uygulanan ölçülebilir ön akımda, fotobolometrik etkiden dolayı, tüm kristalden gelen foto akım gözlemlendi. Fotooolometrik etki malzemenin fotooermal indüklenen direnç değişimine dayandığından, metallic GMK'ların termal iletimlerini bolometrik etki aracılığı ile elde etmek için çalışmamızı genişlettik. Kristalin alttaş ile teması, bir ısı havuzu gibi davrandığından, herhangi bir ısı havuzudan termal olarak izolasyon sağlamak için bir delik üzerine bırakılan kristalleri kullandık. Lazerin kaynaklandığı ısıma ile oluşan direnç değişimi kristalin merkezinden deneysel olarak ölçülmüştür. Piyasada satılan sonlu eleman metodu paketi ( COMSOL) aracılığı ile, Termal iletkenliğin (K) uyma paramatresi olarak kullanıldığı ölçüm değişimleri ve beklenen direnç değişimi eşleşmektedir. Bu şekilde, metallik GMK'ların termal iletkenliği yüksek kesinlik ve doğruluk ile hesaplandı.","After the successful isolation of graphene from its bulky counterpart, there has been tremendous advancement in the fi eld of 2D material. Transition metal dichalcogenides(TMDCs) is family of 2D materials comprising of a transition metal atom sandwiched between two chalcogen atoms. Photoresponse of semiconducting TMDCs has been studied extensively in literature. However, photoresponse from metallic TMDCs is unprecedented and hence has not been studied to explore which mechanism might prevail. Among our fi ndings, we discovered that photocurrent generation through metallic TMDCs is possible and has a photoohermal origin. Using scanning photoourrent microscopy, we were able to obtain spatial photocurrent maps for both, zero biased and biased samples. At zero applied bias, the photocurrent generation is localized to metalletal junction and governed by Seebeck effect. At fi nite applied bias, photocurrent from the whole crystal is observed and is due to photobolometric effect. As Photooolometric effect relies on photoohermally induced resistance change of the material, we extended our study to extract thermal conductivity of metallic TMDCs via bolometric effect. As contact of crystal with substrate act as a heat sink, we used suspended crystals over a hole to thermally isolate it from any heat sink. Resistance change via laser induced heating is experimentally measured at the center of the suspended part of crystal. Measured resistance change is matched with expected resistance change which is calculated using thermal conductivity(k) as a fitting parameter via commercially available fi nite element method package(COMSOL). This way, thermal conductivity of the metallic TMDCs is calculated with very high accuracy and precision.",1751,256,14
2711,ODTÜ,ELEC,"Geçtiğimiz on yılda, özellikle derin öğrenmenin yükselişiyle birlikte çoklu nesne takibinde önemli ilerlemeler görüldü. Bununla birlikte, çevrimiçi izlemeyle ilgili birçok çalışma öncelikli olarak iz yönetimini geliştirmeye veya daha etkin görsel özellikleri çıkarmaya odaklanmıştır; bu da özellikle yoğun görsel örtmelerin veya kalabalık sahnelerin olduğu senaryolarda genellikle sınırlı etkililiğe sahip hibrit yaklaşımlara yol açmaktadır. Bunun yanında, çevrimdışı izleme metodları etkin iz yönetimine genellikle gereken önemi vermemiştir. Bu tez, son zamanlarda etkili olduğu gözlemlenen öğrenmeye dayalı mimarilerden yararlanarak, hedef izlerini hiyerarşik olarak birleştirerek çevrimdışı çoklu hedef takibine yeni bir çözüm önermektedir. Yaklaşımımız, ortak bir Transformer ve Çizge Sinir Ağı (Graph Neural Network) kodlayıcı kullanarak hedefler arasındaki hareket ipuçlarını ve sosyal etkileşimleri entegre eder. Herhangi bir varsayıma dayalı kısa veya uzun vadeli eşleştirme süreci gerektirmeyen, uçtan uca eğitilebilir bir modeldir. Önerdiğimiz model bir çizge yapısı kullanarak çoklu çerçevelerdeki hedef izlerini temsil eder, ve farklı zaman damgalarındaki hedeflerin kolektif olarak ele alınmasına olanak tanır. Ayrıca Transformer kodlayıcı, her bir hedefin hareket karakteristiğini etkili bir şekilde modellenmesine olanak tanır. Transformer ve GNN mimarileri arasında çift yönlü bilgi akışını etkinleştirerek, hareket modellemenin etkileşimlere bağlı olmasına ve bunun tersine etkileşim modellemenin de her hedefin hareketine bağlı olmasını sağlıyoruz. Deneysel sonuçlar, yaklaşımımızın etkinliğini ortaya koymakta ve ortak bir Transformer kodlayıcı ile donatılmış GNN mimarisinin, en son teknoloji algoritmalarla karşılaştırılabilir sonuçlar elde ettiğini göstermektedir. Bu umut verici sonuçlar, çoklu nesne takibinde ortak TransformerrNN kodlayıcı mimarisinin potansiyelini vurgulamaktadır.","The past decade has seen significant advancements in multiibject tracking, particularly with the rise of deep learning. However, many studies in online tracking have primarily focused on enhancing track management or extracting visual features, often leading to hybrid approaches with limited effectiveness, especially in scenarios with severe occlusions or crowded scenes. Conversely, in offline tracking, there has been a lack of emphasis on robust motion cues. This thesis proposes a novel solution to offline tracking by hierarchically merging tracklets, leveraging recent promising learninggased architectures. Our approach integrates motion cues and social interactions among targets using a joint Transformer and Graph Neural Network (GNN) encoder. The proposed solution is an enddoond trainable model that does not require any handcrafted shortterm or longgerm matching processes. By representing tracklets across multiple frames using a graph structure, we enable collective reasoning of targets across different timestamps, leveraging advancements in graph representation learning. Furthermore, the Transformer encoder effectively captures the motion of each tracklet. By enabling biiirectional information propagation between these modalities, namely Transformer and GNN, we allow motion modeling to depend on interactions and, conversely, interaction modeling to depend on the motion of each target. Experimental results demonstrate the effectiveness of our approach, indicating that graph representation learning equipped with a joint Transformer encoder achieves results comparable to the stateeffheert algorithms. These promising results emphasize the potential of the joint TransformerrNN encoder architecture in multiibject tracking.",1750,232,12
3556,BİLKENT,ELEC,"Bu tezin amacı akort edilebilir izgesel rezonans gösteren grafen plazmonik yapıları incelemek ve grafeni geçitlemek için iki farklı yöntemi karşılaştırmaktır. Grafen üzerinde periyodik altın fraktal karelerden oluşan bu plazmonik yapılar grafenin ışık ile etkileşimini artırmak amacıyla kullanılmıştır. Daha yüksek dereceli fraktal yapılarda daha fazla izgesel akort edilebilme olduğu simulasyonlarla ve deneylerle gösterilmiştir. Bunun sebebi yüksek dereceli fraktal yapılar ile daha fazla ışık lokalizasyonu sağlanmasıdır. Ayrıca, grafen plazmonik yapıların izgesel akort edilme özelliği iki farklı elektriksel geçitleme yöntemi ile incelenmiştir. Üstten geçitleme ve alttan geçitleme yönemleri kullanılan iki aygıtın üretim methodları ve üretim adımları ayrıntılarıyla açıklanmıştır. Bu iki yöntemin karşılaştırılması sonucunda, iyonik bir elektrolit kullanılan üstten geçitleme yönteminin daha verimli olduğu belirlenmiştir. Üstten geçitleme ile alttan geçitlemeye nazaran çok daha düşük voltajlar uygulanarak aynı miktarda izgesel akort edilebilme gözlenmiştir.","The aim of this thesis is to examine graphene plasmonic structures which yields actively tunable spectral resonances and compare two different ways to gate graphene. Plasmonic structures that consist of periodic fractal gold squares on graphene are used to increase lighttraphene interaction. We show by simulations and experiments that higher degree fractal structures result in higher spectral tunability of resonance wavelength. This is explained by more plasmonic localization of light for higher degree fractal structures. Furthermore, spectral tunability of a plasmonic structure integrated with graphene is investigated comparing two different schemes for electrostatic gating. The fabrication methods and fabrication steps of the devices with different gating schemes is explained in detail. Comparison of backkating and toppating schemes confirms that toppating using ionic liquid is a more efficient gating method. Toppating yields the same amount of spectral tunability while requiring smaller gate voltages compared to that of backkating experiments.",1062,148,9
2729,ODTÜ,ELEC,"Bu çalışma, AC beslemeli şalt sahası topraklamalarının problemli olanlarını incelemektedir. Özellikle, yüksek özdirençli sahaların topraklamalarının tasarımları üzerinde çalışmalar yapılmıştır. Olası tasarım iyileştirmeleri belirlenmiş ve bu iyileştirmelerin etkinlikleri, güvenlik ve maliyet açılarından incelenmiştir. Bu karşılaştırmalı değerlendirmelerde, CYMGRD programı (FEM analizleri yapan AC topraklama tasarım programı) iyileştirmelerin numerik analizleri için kullanılmıştır. Ayrıca uluslararası (IEEE, IEE) ve yerel (Topraklamalar Yönetmeliği) standardlarda yer alan dört işlem temelli metodlar için bir bilgisayar programı hazırlanmıştır. Yüksek özdirençli sahalar için bu programın sayısal çıktıları ile FEM çıktıları karşılaştırılmış ve metodların güvenilirliği incelenmiştir.","This thesis investigates problematic cases in AC substation grounding system design. Particularly, the grounding design for substations that are built on high resistivity soil is considered. Here, possible physical rectification schemes are introduced and compared for their effectiveness from safety and cost efficiency perspectives. For this comparison, the CYMGRD program (a finite element analysis tool for AC substation grounding) is used for detailed analysis of the various schemes. An additional computer program is developed to implement the formulations of the related AC substation standards (IEEE, IEE, and Turkish National Regulations). The output of this program is compared with the finite element analysis of the highhesistivityyoil rectification schemes to investigate the validity of the formulations in these standards.",838,117,7
3332,ODTÜ,INDR,"Bu çalışmada, müşteriye hizmet götüren acil tıbbi yardım servisleri olarak ambulansların en iyi lokasyonlarına karar verme problemi tartışılmıştır. Uzamsal ağlarda verilen ambulans lokasyon kararları sonucunda ortaya çıkan sistemin performans parametrelerini hesaplamak için Hiperküp Kuyruk Modeli (HKM) kullanılır. Geroliminis ve ekibi, HKM modelini genişletir ve Uzamsal Kuyruk Modeli (UKM) önerir. Bizim çalışmamız, UKM'nin genel ağlarda kullanılabilmesi için bir genişletme önerir. UKM modelinde kullanılan yakınsama yaklaşımlarının kalitesi sorgulanır, ve bu kalitenin değişimi, talep miktarının alanlara göre dağılımı, kuyruk sisteminin trafik yoğunluğu ve talep alanlarının ağ üzerindeki dağılımı gibi farklı ağ parametrelerine göre raporlanır. Bu çalışma her alana en fazla bir tane araç yerleştirme kısıtlamasını kaldırır. Genel ağlarda bunun etkisini raporlar. Kapalı bir ifadesi olmayan matematiksel model için sezgisel bir çözüm algoritması önerilir ve performansı raporlanır.","In this study, problem of optimal location decision of ambulances as an serverrooustomer Emergency Medical Service (EMS) vehicle is discussed. Hypercube queueing models (HQM) are employed to achieve performance measures significant to the location decision of EMS vehicles in spatial networks. Geroliminis et al(2009) extends HQM and propose Spatial Queueing Model(SQM). Our study proposes a generalization of SQM to be used in general networks. Quality of approximations inherit to SQM is questioned, and reported against various system spesific variables such as distribution of demand among regions, traffic intensity or distribution of demand regions over the area. Restriction of number of servers to be located per each location as one in the SQM model is relaxed. Effect of allowing multi servers per each location in general networks are reported. A metaheuristic algorithm (genetic algorithm) is proposed to solve the model for which no closed form expression exists and its performance is reported.",1008,151,9
2044,KOÇ,ELEC,"Bilgisayar Tarafından Oluşturulan Holografik (CGH) ekranlar, insan görsel sisteminin tüm gereksinimlerini karşılayabildikleri için nihai üç boyutlu (3D) görüntüleme teknolojisi olabilir. Bir CGH ekranı, stereoskopik ekranların ötesine geçerek, verjans ve akomodasyon da dahil olmak üzere tüm derinlik ipuçlarıyla bir 3D deneyimi sunar. CGH ekranları endüstriyel, eğitimsel ve tüketici uygulamalarının tüm taleplerini karşılayabilir. Büyük potansiyeline rağmen, CGH ekranlarının görsel kalitesi diğer ekran teknolojilerinden daha düşüktür. Vaatlerini yerine getirmeden önce çözülmesi gereken birçok hesaplama ve uygulama zorluğu bulunmaktadır. Bu tezde, hologramların hesaplanmasını ve görsel kalitesini iyileştirmek için iki yeni yöntem geliştirdik. İlk olarak, makine öğrenimi yaklaşımlarını kullanarak hologram hesaplamasını iyileştirdiğimiz, öğrenilmiş holografik ışık taşıma modelleri adı verilen yeni bir yönü keşfettik. Geleneksel hesaplama modelleri simülasyon ortamlarında mükemmel kalite sunmasına rağmen, bu modellerden elde edilen deneysel görüntüler beklenen görsel kaliteyi sergilememektedir. Çalışmamız, simüle edilmiş ve deneysel sonuçlar için yeniden oluşturulmuş görüntüleri içeren bir holografik veri seti ve öğrenme modeli oluşturarak bu uyuşmazlığı giderir. Yöntemimizin, deneysel sonuçların görsel kalitesini iyileştirirken, simüle edilmiş ve deneysel sonuçlar arasındaki uyumsuzluğu azalttığını kanıtladık. İkinci zorluk, koherant olmayan doğal sahneler ile lazerler gibi koherant ışık kaynağı ile holografik olarak oluşturulmuş sahneler arasındaki uyumsuzluktur. Odaksızlıktan kaynaklanan bulanıklık, doğal görüntülerde yumuşak özelliklerle sonuçlanırken, koherant görüntülerdeki odak bulanıklığı, gözün 3D holografik sahnelerde yanlışlıkla akomodasyonunu bozabilen yüksek uzamsal frekans özellikleri içerir. Odak bulanıklığındaki bu fark, 3D holografide kenar saçak kusurları olarak kendini gösterir. Bu kusurları araştırdık ve bu sorunu azaltmak için yeni bir sadece faz biligisi içeren hologram oluşturma yöntemi önerdik. Yöntemimiz, bu kusurları azaltarak görsel kaliteyi iyileştirmek için özel olarak tasarlanmış yeni bir hedefleme şeması ve kayıp fonksiyonu sunar. Ayrıca, Çift Olasılıksal Dereceli Azalma yöntemi olarak adlandırdığımız yeni bir optimizasyon yöntemi öneriyoruz. Odak bulanıklığı problemi, koherant sistemlerde iyi bilinen bir sorundur, ancak önceki araştırmalar herhangi bir gelişme gösterememiştir. Yöntemimizin hem simülasyonlarda hem de deneysel sonuçlarda kenar saçak kusurlarını azaltabileceğini literatürde ilk kez gösterdik. Son olarak, katarakt hastalarının ameliyattan önce görme sonrası keskinlik performansını değerlendirmek için yeni bir holografik görme simülatörü cihazı geliştirdik. Cihaz bir CGH ekranı ve göz bebeğini takip eden kameraları içerir. Holografik olarak şekillendirilmiş ışık ışınlarının, retina üzerinde net görüntüler oluşturmak için kristal merceğin daha az yoğun kataraktlı bölgelerinden programlanabileceğini ve yönlendirilebileceğini gösterdik. 13 hasta ile yaptığımız klinik öncesi çalışmalarımız, hastaların ameliyat sonrası potansiyel görme keskinliğinin ameliyattan önce CGH ekranı kullanılarak başarılı bir şekilde tahmin edilebileceğini göstermiştir. Böyle bir simülatör klinikte muazzam bir potansiyele sahiptir.","Computer Generated Holographic (CGH) displays can be the ultimate threeeimensional (3D) display technology as they can match all the requirements of the human visual system. A CGH display goes beyond stereoscopic displays and offers a 3D experience with all the depth cues, including vergence and accommodation. CGH displays can satisfy all the demands of industrial, educational, and consumer applications. Despite its great potential, the visual quality of CGH displays is inferior to other display technologies. There remain many computational and implementation challenges that are needed to be resolved before fulfilling its promises. In this thesis, we developed two novel methods to improve the computation and the visual quality of holograms. First, we explored a new direction called learned holographic light transport models, where we improved hologram computation using machine learning approaches. Although traditional computational models offer excellent quality in simulation environments, experimental images from these models do not exhibit the expected visual quality. Our work addresses this mismatch by generating a holographic dataset and learning model that contains the reconstructed images for simulated and experimental results. We proved that our method mitigates the mismatch between simulated and experimental results while improving the visual quality of experimental results. The second challenge is the mismatch between the incoherent natural scenes and the holographically constructed scenes using coherent light such as lasers. While the blur due to defocus results in smoothed features in natural images, defocus blur in coherent images contains highhpatial frequency features, which can inadvertently disturbs the eye's accommodation in 3D holographic scenes. Such difference in defocus blur manifests itself as edge fringe artifacts in 3D holography. We investigated these artifacts, and proposed a novel phase only hologram generation method to mitigate this issue. Our method introduces a novel targeting scheme and loss function that is specifically tailored to improve the visual quality by reducing these artifacts. Furthermore, we propose a new optimization method we named the Dual Stochastic Gradient Descent method. Defocus blur is a welllnown problem in coherent systems, but previous research has failed to show any enhancement. We showed for the first time that our method could reduce the edgeeringe artifacts both in simulations and experimental results. Finally, we developed a novel holographic vision simulator device to assess the posttisual acuity performance of cataract patients before going through surgery. The device contains a CGH display and pupil tracker cameras. We demonstrate that holographically shaped light beams can be programmed and directed through less dense cataractous regions of the crystalline lens to form crisp images on the retina. Our preelinical studies with 13 patients showed that patients' potential posttp visual acuity after surgery can be successfully predicted using the CGH display before the surgery. Such a simulator has enormous potential in the clinic.",3146,454,24
80,SABANCI,INDR,"Serbestleşmiş elektrik piyasaları, elektrik şirketleri arasındaki elektrik fiyatı rekabetine olanak sağlar. Ancak, az sayıda elektrik şirketinden oluşan bir piyasada, şirketlerin stratejik yaklaşımları gizli anlaşmalara yol açabilir. Bağımsız bir sistem işletmecisi, elektrik piyasasını idare etmekten sorumlu yetkili bir kuruluştur. Bu nedenle, elektrik şirketleri arasında oluşabilecek gizli anlaşmaları tespit edip önleyebilecek niteliğe sahip olmalıdır. Bu çalışmada, gizli anlaşmaların önlenmesi için karar alma sürecinde bağımsız sistem işletmecisine yardımcı olacak metaaezgisel bir yaklaşım öneriyoruz. Oluşturduğumuz metaaezgisel yöntem, genetik algoritma prensiplerine dayanmaktadır. Algoritmamızı değişken büyüklükteki üç örnek problem üzerinde test ediyoruz. Sonuçlarımız, hem hız hem de doğruluk açısından umut vericidir. Büyük ölçekli bir problem karşısında, algoritmamız literatürdeki mevcut alternatifinden çok daha hızlı çalışmaktadır.","Deregulated electricity markets allow competition over the electricity price among the power companies. However, in an oligopolistic environment, the strategic behavior of the power companies in the electricity market may lead to collusive opportunities. The independent system operator (ISO) is an authorized entity which is responsible for administrating the electricity market. Therefore, ISO shall be able to detect and avoid collusive opportunities among generators. In this study, we propose a metaheuristics approach to assist ISO in the decisionnaking process to prevent collusions. We develop a method, based on principles of genetic algorithm to detect the collusive opportunities in deregulated electricity markets. We test our algorithm on three problems of varying size. Our results are promising in terms of both speed and accuracy. For the largeecale problem, our algorithm works much faster than the existing alternatives in the literature.",956,138,10
1689,ODTÜ,MECH,"Bu çalısmada, tipik bir tek yakıtlı uydu itki sistemi ticari bir yazılım ile numerik olarak modellenmis ve analizler, uydu itki sisteminin başlatma operasyonu göz önünde bulundurularak gerçekleştirilmistir. Analizler, farklı tank basınçları, akış aşağı yönündeki boru basınçları, tank ile orifis arası uzunluklar, orifis ile açmaaapama vanası arası uzunluklar, açmaaapama vanası ile çıkış vanası arası uzunluklar, orifis çapları ve boru çapları kullanılarak gerçekleştirilmiştir. Bunun yanı sıra bir test düzeneği kurulmuş ve başlatma operasyonu sırasında bir uydu itki sisteminde karşılaşılan koşullar ile aynı koşullarda ortaya çıkacak su darbesi fenomeni hakkında veritabanı oluşturmak amacıyla testler gerçeklestirilmistir. Testlerde, farklı tank basınçları, akıs aşağı yönündeki boru basınçları, akış aşağı yönündeki boru uzunlukları ve orifis çapları kullanılmıştır. Elde edilen maksimum basınç, akış frekansı ve geçici akış süreleri karşılastırılan parametrelerdir.","In this study, a typical satellite monopropellant propulsion system is numerically modeled by using a commercial software and analyses are conducted regarding the priming operation of satellite propulsion system. Analyses are performed for different tank pressures, downstream line pressures, distance between the tank and orifice, distance between the orifice and latch valve, distance between the latch valve and exit valve, orifice diameter and pipe diameters. Moreover, a test setup is constructed and tests are performed in order to create a database on water hammer phenomena under the same conditions with the ones faced in satellite propulsion system during priming. In the tests, different tank pressures, downstream line pressures, downstream line lengths and orifice diameters are used. Maximum pressure, frequency of flow and transient flow duration are the parameters compared.",890,129,6
2999,ODTÜ,ELEC,"Bu tez çalışmasında; kodlama ve iletim tabanlı bozulmalar karşısında algılanan video kalitesini kestirmek için yeni, gürbüz, nesnel referanssız, ""Uzammamansal Ağ farkında Video Kalite Metriği"" (UZAAKM) isimli bir video kalite değerlendirme (VKD) metriği önerilmiştir. UZAAKM, uzamsal karmaşıklık ve hareket gibi videonun uzammamansal karakteristiğini yansıtan parametreler kullanır. UZAAKM, aynı zamanda bit hızı ve paket kayıp oranı gibi kodlama ve iletim tabanlı bozulmaları temsil eden parametreler kullanır. UZAAKM, Austin'deki Texas Üniversitesi'ne ait Görüntü ve Video Mühendisliği Laboratuarı (LIVE) VKD veri tabanında eğitilmiştir. UZAAKM; LIVE, Ecole Politechnique Federale de Lausanne (EPFL)- Politecnico di Milano (PoliMI) ve Instituto de Telecomunicacoes, Instituto Superior Tecnico (ITTST) VKD veri tabanları ile Plymouth Üniversitesi Odyovizüel kalite değerlendirme (OVKD) veri tabanındaki videolarda değerlendirilmiştir. UZAAKM'nin algılanan video kalitesini; çeşitli video içeriği, video kodlayıcı, uzamsal çözünürlük, bit hızı, çerçeve hızı, paket kaybı vb. içeren bu veri tabanlarında doğrulukla tahmin ettiği kanıtlanmıştır. Mevcut en gelişkin VKD metriklerle karşılaştırma, UZAAKM'nin umut verici sonuçlar sağladığını işaret etmektedir. Buna ek olarak; kodlama ve iletim tabanlı bozulmalar karşısında algılanan ses kalitesini tahmin etmek amacıyla yeni, nesnel referanssız ses kalite değerlendirme (SKD) metriği geliştirilmiştir. Önerilen SKD metriği, algılanan ses kalitesine örnekleme frekansı, bit hızı ve paket kayıp oranı gibi parametrelere dayanarak değer biçer. Önerilen SKD metriği iki farklı SKD veri tabanında eğitilmiş ve değerlendirilmiştir. SKD metriğin, farklı ses kodlama çeşitlerine sahip bu SKD veri tabanlarında algılanan ses kalitesine güvenilir bir şekilde değer biçtiği gösterilmiştir. Son olarak, literatürdeki klasik yaklaşımı uygulayarak (algılanan video kalite kestirimi, algılanan ses kalite kestirimi ve bu ifadelerin çarpımlarını birleştirerek) nesnel referanssız, ""Doğrudan OdyoVizüel Kalite Değerlendirme"" (DOVKD) isimli bir OVKD metrik elde edilmiştir. Ayrıca, videoları uzammamansal karakteristiklerine göre sınıflandıran yeni bir video sınıflandırma yöntemi tanıtılmıştır. Bu uzammamansal tabanlı video sınıflandırma yöntemi kullanılarak, ""İçerik Bağımlı OdyoVizüel Kalite Değerlendirme"" (İBOVKD) isimli yeni, içerikkağımlı bir OVKD algoritması tasarlanmıştır. Plymouth Üniversitesi OVKD veri tabanındaki odyovizüel veri için, İBOVKD modelinin DOVKD modelinden daha doğru olduğu gösterilmiştir.","In this thesis work; a novel, robust, objective, nooeference video quality assessment (VQA) metric, namely Spatiooemporal Network aware Video Quality Metric (STNNQM), has been proposed for estimating perceived video quality under compression and transmission distortions. STNNQM uses parameters reflecting the spatiotemporal characteristics of the video such as spatial complexity and motion. STNNQM also utilizes parameters representing distortions due to compression and transmission such as bit rate and packet loss ratio. STNNQM has been trained on the Laboratory of Image and Video Engineering (LIVE) VQA database, owned by University of Texas at Austin, and evaluated on LIVE, Ecole Politechnique Federale de Lausanne (EPFL)- Politecnico di Milano (PoliMI) and Instituto de Telecomunicacoes, Instituto Superior Tecnico (ITTST) VQA databases and also on video streams in University of Plymouth audiovisual quality assessment (AVQA) database. STNNQM is proven to predict perceived video quality accurately on these databases, which span a wide range of video contents, video codecs, spatial resolutions, bit rates, frame rates, packet losses etc. Comparison to the existing stateeffheert VQA metrics indicates that the STNNQM provides promising results. Moreover, a novel, objective, nooeference audio quality assessment (AQA) metric has been introduced in order to predict perceived audio quality under compression and transmission distortions. Proposed AQA metric appraises perceived audio quality based on parameters such as sampling frequency, bit rate and packet loss ratio. Proposed AQA metric has been trained and evaluated on two different AQA databases. The AQA metric is shown to appraise perceived audio quality reliably on these AQA databases, which have different audio encoding types. Finally, an objective, nooeference AVQA metric (namely, Direct AudioVisual Quality Assessment – DAVQA) has been obtained by applying the classical approach in the literature, i.e., by combining perceived video quality estimate, perceived audio quality estimate and their product. Moreover, a novel video classification method which classifies videos according to their spatiooemporal characteristics has been developed. Using this spatiooemporal based video classification method, a novel, contenttependent AVQA algorithm (namely Content Dependent AudioVisual Quality Assessment – CDAVQA) has been designed. The CDAVQA model is shown to be more accurate than the DAVQA model on the audiovisual data in the University of Plymouth AVQA database.",2546,356,17
