term,domain
trimean,physics
triple point,physics
truncated mean,physics
Unbalanced forces,physics
uncertainty principle,physics
unified atomic mass unit,physics
uniform motion,physics
uniform circular motion,physics
unit vector,physics
utility frequency,physics
vacuum,physics
valence electron,physics
valence shell,physics
valley of stability,physics
Van de Graaff generator,physics
variable capacitor,physics
variable resistor,physics
Vector ,physics
vector space,physics
velocity,physics
virtual image,physics
virtual particle,physics
viscoelasticity,physics
viscosity,physics
visible light,physics
volt,physics
Volta potential,physics
voltage,physics
voltmeter,physics
Electric field,physics
volume,physics
W and Z bosons,physics
watt,physics
wave,physics
wave equation,physics
wave function,physics
wave function collapse,physics
wave–particle duality,physics
wavelength,physics
weak interaction,physics
Weber ,physics
Wedge ,physics
weight,physics
wheel and axle,physics
wind,physics
work ,physics
work function,physics
X-ray,physics
Young’s modulus,physics
Zeeman effect,physics
